,city,temp_max,humidity,clouds,windspeed,lat,lng,country,date
0,mawlaik,58.19,51,13,1.54,23.6333,94.4167,MM,1612724733
1,puqi,49.41,89,100,4.38,29.7167,113.8833,CN,1612724733
2,bredasdorp,68.0,60,3,10.36,-34.5322,20.0403,ZA,1612724733
3,hurghada,68.0,56,0,2.86,27.2574,33.8129,EG,1612724733
4,bengkulu,76.05,85,100,6.93,-3.8004,102.2655,ID,1612724733
5,rikitea,77.32,72,91,12.3,-23.1203,-134.9692,PF,1612724733
6,ribeira grande,60.8,72,40,16.11,38.5167,-28.7,PT,1612724734
7,clyde river,-4.0,92,75,8.05,70.4692,-68.5914,CA,1612724734
8,sturgeon falls,14.0,56,20,11.5,46.3646,-79.9326,CA,1612724734
9,albany,28.99,73,100,1.54,42.6001,-73.9662,US,1612724734
10,saint anthony,-4.0,54,1,6.24,45.0205,-93.218,US,1612724734
11,vaini,78.8,89,75,12.66,-21.2,-175.2,TO,1612724734
12,barrow,-23.8,76,20,11.5,71.2906,-156.7887,US,1612724695
13,east london,71.6,88,40,3.44,-33.0153,27.9116,ZA,1612724678
14,chicama,75.2,73,0,10.36,-7.8447,-79.1469,PE,1612724541
15,cape town,69.01,60,0,25.32,-33.9258,18.4232,ZA,1612724496
16,genthin,21.99,78,100,4.0,52.4,12.1667,DE,1612724735
17,mataura,53.46,80,98,1.95,-46.1927,168.8643,NZ,1612723919
18,chokurdakh,-22.59,86,99,7.85,70.6333,147.9167,RU,1612724735
19,jaumave,80.6,28,20,6.91,23.4167,-99.3833,MX,1612724735
20,carnarvon,77.0,100,40,12.66,-24.8667,113.6333,AU,1612724621
21,constantine,46.4,76,40,9.22,36.365,6.6147,DZ,1612724735
22,hirara,68.83,69,84,9.62,24.8,125.2833,JP,1612724699
23,caravelas,79.77,87,100,8.68,-17.7125,-39.2481,BR,1612724735
24,pecanha,69.73,98,100,4.21,-18.5486,-42.5569,BR,1612724735
25,saint george,54.0,29,1,2.01,37.1041,-113.5841,US,1612724599
26,yenagoa,82.69,75,100,7.92,4.9247,6.2642,NG,1612724736
27,mehamn,24.8,80,75,31.07,71.0357,27.8492,NO,1612724736
28,hermanus,68.0,75,2,1.01,-34.4187,19.2345,ZA,1612724258
29,tuktoyaktuk,-25.6,75,75,19.57,69.4541,-133.0374,CA,1612724736
30,castro,76.24,47,0,3.47,-24.7911,-50.0119,BR,1612724736
31,saskylakh,-37.95,78,25,12.33,71.9167,114.0833,RU,1612724362
32,port alfred,66.0,95,99,9.22,-33.5906,26.891,ZA,1612724736
33,mitzic,72.12,93,98,4.03,0.7821,11.549,GA,1612724736
34,sisimiut,24.3,81,0,15.08,66.9395,-53.6735,GL,1612724736
35,kahului,70.0,77,20,5.75,20.8947,-156.47,US,1612724497
36,georgetown,80.6,83,20,4.03,5.4112,100.3354,MY,1612724546
37,hilo,75.0,49,20,4.61,19.7297,-155.09,US,1612724694
38,muslyumovo,-2.79,90,100,14.79,55.3033,53.1947,RU,1612724737
39,coahuayana,77.0,65,20,6.6,18.7333,-103.6833,MX,1612724737
40,hithadhoo,82.02,70,83,8.19,-0.6,73.0833,MV,1612724737
41,santa maria,86.0,51,20,5.75,-29.6842,-53.8069,BR,1612724701
42,ushuaia,62.6,45,40,9.22,-54.8,-68.3,AR,1612724737
43,provideniya,-3.93,79,100,16.67,64.3833,-173.3,RU,1612724737
44,longyearbyen,15.8,67,75,21.85,78.2186,15.6401,SJ,1612724737
